time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
214700,2023-04-01 05:26:33,35.8244878265419,14.4415503378953,0,Available with any HD 360 subscription,Available with any HD 360 subscription,267.68439931393,0.328084,0,0,0,22,5,0,267.68439931393,0,0,0,0,0,0,109.3, 3, 4.2,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0,86,267.68439931393,0,41,Motors_Started,
214800,2023-04-01 05:26:33,35.8244880747009,14.4415502601267,0,,,267.68439931393,0.328084,0,0.093417653908,0.093417653908,22,5,0,267.68439931393,0,0,0.093417653908,0,0,0,109.3, 3, 4.2,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0,86,267.68439931393,0,41,Motors_Started,"Setting new Return-To-Home altitude to 15m (49 ft). Data Recorder File Index is 48. Setting new Maximum Flight Altitude to 35m (115 ft)"
214900,2023-04-01 05:26:33,35.8244881028005,14.4415502589726,0,,,267.68439931393,0.328084,0,0.85975724536,0.103675528252,22,5,0,267.68439931393,0,0,0.85975724536,0,0,0,109.3, 3, 4.3,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0,86,267.68439931393,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
215000,2023-04-01 05:26:33,35.8244881249266,14.4415502594522,0,,,267.68439931393,0.328084,0,0.86046262596,0.111749675492,22,5,0,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.3,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0,86,267.68439931393,0,41,Motors_Started,
215100,2023-04-01 05:26:33,35.8244881699449,14.4415502210733,0,,,267.68439931393,0.328084,0,0.85053480412,0.131716539648,22,5,0,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.3,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0,86,267.68439931393,0,41,Motors_Started,
215200,2023-04-01 05:26:33,35.8244882458512,14.4415501490191,0,,,267.68439931393,0.328084,0,0.83245737572,0.166664047328,22,5,8.397,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.3,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0.588,86,267.68439931393,0,41,Motors_Started,
215300,2023-04-01 05:26:33,35.8244882569975,14.441550134065,0,,,267.68439931393,0.328084,0,0.8286089504,0.172672905788,22,5,8.397,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.2,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0.588,86,267.68439931393,0,41,Motors_Started,
215400,2023-04-01 05:26:33,35.8244882637287,14.4415501236952,0,,,267.68439931393,0.328084,0,0.82590881908,0.176602367856,23,5,8.397,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.2,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0.588,86,267.68439931393,0,41,Motors_Started,
215500,2023-04-01 05:26:33,35.8244882998703,14.4415500834063,0,,,267.68439931393,0.328084,0,0.81606629908,0.194376974724,23,5,8.397,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.3,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0.588,86,267.68439931393,0,41,Motors_Started,
215600,2023-04-01 05:26:33,35.8244883400978,14.4415500120578,0,,,267.68439931393,0.328084,0,0.79771656096,0.220084980796,23,5,8.397,267.68439931393,0,0,0.86046262596,0,0,0,109.3, 3, 4.3,0,0,1024,1024,1024,1024,0,0,0,0,104.5,0,0,83,4.197,4.194,0,0,0,0,0.588,86,267.68439931393,0,41,Motors_Started,
