time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
505100,2023-04-01 05:40:13,35.8244842401835,14.4415469598873,0,Available with any HD 360 subscription,Available with any HD 360 subscription,267.68439931393,0.656168,0,0,0,22,5,0,267.68439931393,0,0,0,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0,97.52,267.68439931393,0,41,Motors_Started,
505200,2023-04-01 05:40:13,35.8244842399645,14.4415469602459,0,,,267.68439931393,0.656168,0,0.000132807747032,0.000132807747032,22,5,0,267.68439931393,0,0,0.000132807747032,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0,97.52,267.68439931393,0,41,Motors_Started,
505300,2023-04-01 05:40:13,35.8244842410482,14.4415469613637,0,,,267.68439931393,0.328084,0,0.00053878282564,0.00064825789476,22,5,0,267.68439931393,0,0,0.00053878282564,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0,97.52,267.68439931393,0,41,Motors_Started,"Setting new Return-To-Home altitude to 15m (49 ft). Data Recorder File Index is 48. Setting new Maximum Flight Altitude to 35m (115 ft) Aircraft in Warning Zone (Class D Airspace). Fly with caution"
505400,2023-04-01 05:40:13,35.8244842421278,14.441546962376,0,,,267.68439931393,0.328084,0,1.65375005292,0.00114308402608,22,5,7.987,267.68439931393,0,0,1.65375005292,0,0,0,34.8, 6.9, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
505500,2023-04-01 05:40:13,35.8244842419096,14.441546956542,0,,,267.68439931393,0.328084,0,1.6546588456,0.0028707514042,22,5,7.987,267.68439931393,0,0,1.6546588456,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
505600,2023-04-01 05:40:13,35.8244842429128,14.4415469561978,0,,,267.68439931393,0.328084,0,1.65438981672,0.00325064314864,22,5,7.987,267.68439931393,0,0,1.6546588456,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
505700,2023-04-01 05:40:13,35.8244842442603,14.4415469559563,0,,,267.68439931393,0.328084,0,1.65399611592,0.0037474410648,22,5,7.987,267.68439931393,0,0,1.6546588456,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
505800,2023-04-01 05:40:13,35.8244842456274,14.441546955014,0,,,267.68439931393,0.328084,0,1.65369427864,0.0043188321592,22,5,7.987,267.68439931393,0,0,1.6546588456,0,0,0,34.8, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
505900,2023-04-01 05:40:13,35.8244842465515,14.4415469535599,0,,,267.68439931393,0.328084,0,1.65361225764,0.0048654201032,22,5,7.987,267.68439931393,0,0,1.6546588456,0,0,0,34.8, 6.9, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
506000,2023-04-01 05:40:13,35.8244842337959,14.4415469390715,0,,,267.68439931393,0.328084,0,1.65976711348,0.0111921919592,22,5,7.987,267.68439931393,0,0,1.65976711348,0,0,0,34.8, 6.9, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
506100,2023-04-01 05:40:14,35.8244842316016,14.4415468837747,0,,,267.68439931393,0.328084,0,1.6685203946,0.0275699811972,22,5,7.987,267.68439931393,0,0,1.6685203946,0,0,0,34.6, 6.7, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,41,Motors_Started,
506200,2023-04-01 05:40:14,35.824484224951,14.4415468480648,0,,,267.68439931393,0.328084,0,1.67588916124,0.03840879388,23,5,7.987,267.68439931393,0,0,1.67588916124,0,0,0,35, 6.8, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,11,AutoTakeoff,
506300,2023-04-01 05:40:14,35.824484220792,14.4415468796086,0,,,267.68439931393,0.328084,0,1.6725558278,0.047862862424,23,5,7.987,267.68439931393,0,0,1.67588916124,0,0,0,35.1, 6.8, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,11,AutoTakeoff,
506400,2023-04-01 05:40:14,35.8244842362027,14.4415469194355,0,,,267.68439931393,0.328084,0,1.66185044688,0.060917652868,23,5,7.987,267.68439931393,0,0,1.67588916124,0,0,0,35.1, 6.7, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,30,0,0,63,3.995,3.99,0,0,0,0,0.613,97.52,267.68439931393,0,11,AutoTakeoff,
